Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
string,integer,string,string,ra,dec,integer,float,float,float,float,float,string,float,integer,string,float,real,float,float,float,float,float,float,integer,float,float,float,float,float,float,float,float,float,string,string,datetime
Kepler-1 b,11446443,K00001.01,TrES-2 b,19 07 14.033,+49 18 59.04,1394,14.400,1.725,2.471,0.822,84.220,SPC,8.445,,Mandel and Agol (2002 ApJ 580 171),122.763,14284.0,0.036,0.124,8.000e-5,6.500,0.995,1.060,5814,4.380,11.338,11.736,11.275,11.168,11.126,10.232,9.920,9.846,YES,2013-03-05,2013-12-19 00:00:00
Kepler-10 b,11904151,K00072.01,Kepler-10 b,19 02 43.052,+50 14 28.68,1903,1.370,1.803,0.837,0.174,87.090,SME,3.591,,Mandel and Agol (2002 ApJ 580 171),131.574,195.0,0.017,0.013,7.000e-5,10.000,0.905,1.000,5627,4.390,10.961,11.388,10.920,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-10-25 00:00:00
Kepler-10 c,11904151,K00072.02,Kepler-10 c,19 02 43.052,+50 14 28.68,505,2.190,6.859,45.294,0.068,89.950,SME,51.360,,Mandel and Agol (2002 ApJ 580 171),138.678,495.0,0.241,0.020,1.300e-4,10.000,0.905,1.000,5627,4.390,10.961,11.388,10.920,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-12-19 00:00:00
Kepler-100 b,6521045,K00041.02,Kepler-100 b,19 25 32.637,+41 59 24.97,1071,1.240,4.476,6.887,0.865,81.930,SME,6.180,,Mandel and Agol (2002 ApJ 580 171),133.176,75.0,0.073,0.009,1.600e-4,4.600,1.110,1.230,5909,4.300,11.197,11.585,11.125,11.030,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 c,6521045,K00041.01,Kepler-100 c,19 25 32.637,+41 59 24.97,869,2.080,6.538,12.816,0.803,84.800,SME,9.350,,Mandel and Agol (2002 ApJ 580 171),122.951,229.0,0.111,0.015,1.000e-4,4.600,1.110,1.230,5909,4.300,11.197,11.585,11.125,11.030,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 d,6521045,K00041.03,Kepler-100 d,19 25 32.637,+41 59 24.97,620,1.400,6.143,35.333,0.920,87.090,SME,18.380,,Mandel and Agol (2002 ApJ 580 171),153.984,87.0,0.218,0.010,3.000e-4,4.600,1.110,1.230,5909,4.300,11.197,11.585,11.125,11.030,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-101 b,10905239,K00046.01,Kepler-101 b,18 53 01.318,+48 21 18.84,1233,4.330,4.024,3.488,0.753,80.790,SPC,4.785,,Mandel and Agol (2002 ApJ 580 171),170.931,1295.0,0.047,0.036,1.000e-4,2.300,1.127,1.105,5764,4.400,13.770,14.406,13.720,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-12-19 00:00:00
Kepler-101 c,10905239,K00046.02,Kepler-101 c,18 53 01.318,+48 21 18.84,1032,0.960,3.791,6.029,0.837,83.080,SPC,6.890,,Mandel and Agol (2002 ApJ 580 171),132.515,61.0,0.067,0.008,5.900e-4,2.300,1.127,1.105,5764,4.400,13.770,14.406,13.720,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-10-25 00:00:00
Kepler-102 b,10187017,K00082.05,Kepler-102 b,18 45 55.854,+47 12 28.91,792,0.540,2.439,5.287,0.794,85.370,SME,10.300,,Mandel and Agol (2002 ApJ 580 171),135.847,42.0,0.055,0.007,3.200e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 c,10187017,K00082.04,Kepler-102 c,18 45 55.854,+47 12 28.91,718,0.690,3.263,7.071,0.672,87.090,SME,12.500,,Mandel and Agol (2002 ApJ 580 171),139.988,78.0,0.067,0.009,2.400e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 d,10187017,K00082.02,Kepler-102 d,18 45 55.854,+47 12 28.91,634,1.340,3.207,10.312,0.780,87.090,SME,16.000,,Mandel and Agol (2002 ApJ 580 171),134.080,267.0,0.086,0.017,2.900e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
