Planet Name,Kepler ID,Planet temp,Planet Radius,Transit duration,Period,a/R,Time of transit,r/R,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,KOI Vet Date
Kepler-1 b,11446443,1394,14.4,1.725,2.471,8.445,122.763,0.124,6.5,0.995,1.06,5814,4.38,11.338,11.736,11.275,11.168,11.126,2013-12-19 00:00:00
Kepler-10 b,11904151,1903,1.37,1.803,0.837,3.591,131.574,0.013,10,0.905,1,5627,4.39,10.961,11.388,10.92,10.778,10.729,2013-10-25 00:00:00
Kepler-10 c,11904151,505,2.19,6.859,45.294,51.36,138.678,0.02,10,0.905,1,5627,4.39,10.961,11.388,10.92,10.778,10.729,2013-12-19 00:00:00
Kepler-100 b,6521045,1071,1.24,4.476,6.887,6.18,133.176,0.009,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,2013-12-19 00:00:00
Kepler-100 c,6521045,869,2.08,6.538,12.816,9.35,122.951,0.015,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,2013-12-19 00:00:00
Kepler-100 d,6521045,620,1.4,6.143,35.333,18.38,153.984,0.01,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,2013-12-19 00:00:00
Kepler-101 b,10905239,1233,4.33,4.024,3.488,4.785,170.931,0.036,2.3,1.127,1.105,5764,4.4,13.77,14.406,13.72,13.497,,2013-12-19 00:00:00
Kepler-101 c,10905239,1032,0.96,3.791,6.029,6.89,132.515,0.008,2.3,1.127,1.105,5764,4.4,13.77,14.406,13.72,13.497,,2013-10-25 00:00:00
Kepler-102 b,10187017,792,0.54,2.439,5.287,10.3,135.847,0.007,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,2013-12-19 00:00:00
Kepler-102 c,10187017,718,0.69,3.263,7.071,12.5,139.988,0.009,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,2013-12-19 00:00:00
Kepler-102 d,10187017,634,1.34,3.207,10.312,16,134.08,0.017,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,2013-12-19 00:00:00
Kepler-102 e,10187017,545,2.54,3.754,16.146,21.6,134.753,0.032,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,2013-12-19 00:00:00
Kepler-102 f,10187017,457,1.08,3.829,27.454,30.8,145.026,0.013,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,2013-12-19 00:00:00
Kepler-103 b,4914423,805,2.94,4.652,15.965,16.79,142.176,0.022,3.4,1.156,1.21,5975,4.33,12.287,12.649,12.214,12.132,12.091,2014-06-10 00:00:00
Kepler-103 c,4914423,359,4.46,13.436,179.601,84.3,295.33,0.034,3.4,1.156,1.21,5975,4.33,12.287,12.649,12.214,12.132,12.091,2014-06-10 00:00:00
Kepler-104 b,6678383,801,2.14,4.587,11.428,16.5,137.614,0.021,12.9,0.807,0.93,5711,4.41,12.596,12.956,12.557,12.442,12.397,2014-06-10 00:00:00
Kepler-104 c,6678383,627,2.05,5.756,23.668,26.8,132.713,0.02,12.9,0.807,0.93,5711,4.41,12.596,12.956,12.557,12.442,12.397,2014-06-10 00:00:00
Kepler-104 d,6678383,483,2.36,7.386,51.756,45.2,271.083,0.023,12.9,0.807,0.93,5711,4.41,12.596,12.956,12.557,12.442,12.397,2014-06-10 00:00:00
Kepler-105 b,9579641,1296,3.38,2.82,5.412,13.6,133.142,0.023,3.17,1.18,1.35,6398,4.25,12.791,13.111,12.732,12.654,12.648,2013-12-19 00:00:00
Kepler-105 c,9579641,1182,1.91,2.825,7.126,16.3,139.003,0.013,3.17,1.18,1.35,6398,4.25,12.791,13.111,12.732,12.654,12.648,2013-12-19 00:00:00
Kepler-106 b,8395660,1025,0.81,2.746,6.165,14.5,135.634,0.007,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,2013-12-19 00:00:00
Kepler-106 c,8395660,791,2.47,3.247,13.571,24.6,136.28,0.022,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,2013-12-19 00:00:00
Kepler-106 d,8395660,653,0.93,4.679,23.981,36,147.528,0.008,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,2013-10-25 00:00:00
Kepler-106 e,8395660,533,2.52,6.329,43.844,54,151.934,0.022,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,2013-12-19 00:00:00
Kepler-107 b,10875245,1345,1.58,3.731,3.18,2.74,133.504,0.012,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,2013-12-19 00:00:00
Kepler-107 c,10875245,1165,1.71,4.41,4.901,3.65,138.604,0.013,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,2013-12-19 00:00:00
Kepler-107 d,10875245,991,1.08,4.28,7.958,5.05,137.816,0.008,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,2013-12-19 00:00:00
Kepler-107 e,10875245,807,2.93,6.716,14.749,7.62,138.779,0.023,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,2013-12-19 00:00:00
