Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
Kepler-1 b,11446443,K00001.01,TrES-2 b,19 07 14.033,+49 18 59.04,1394,14.4,1.725,2.471,0.822,84.22,SPC,8.445,,Mandel and Agol (2002 ApJ 580 171),122.763,14284,0.036,0.124,0.00008,6.5,0.995,1.06,5814,4.38,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,YES,2013-03-05,2013-12-19 00:00:00
Kepler-10 b,11904151,K00072.01,Kepler-10 b,19 02 43.052,+50 14 28.68,1903,1.37,1.803,0.837,0.174,87.09,SME,3.591,,Mandel and Agol (2002 ApJ 580 171),131.574,195,0.017,0.013,0.00007,10,0.905,1,5627,4.39,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-10-25 00:00:00
Kepler-10 c,11904151,K00072.02,Kepler-10 c,19 02 43.052,+50 14 28.68,505,2.19,6.859,45.294,0.068,89.95,SME,51.36,,Mandel and Agol (2002 ApJ 580 171),138.678,495,0.241,0.02,0.00013,10,0.905,1,5627,4.39,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-12-19 00:00:00
Kepler-100 b,6521045,K00041.02,Kepler-100 b,19 25 32.637,+41 59 24.97,1071,1.24,4.476,6.887,0.865,81.93,SME,6.18,,Mandel and Agol (2002 ApJ 580 171),133.176,75,0.073,0.009,0.00016,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 c,6521045,K00041.01,Kepler-100 c,19 25 32.637,+41 59 24.97,869,2.08,6.538,12.816,0.803,84.8,SME,9.35,,Mandel and Agol (2002 ApJ 580 171),122.951,229,0.111,0.015,0.0001,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 d,6521045,K00041.03,Kepler-100 d,19 25 32.637,+41 59 24.97,620,1.4,6.143,35.333,0.92,87.09,SME,18.38,,Mandel and Agol (2002 ApJ 580 171),153.984,87,0.218,0.01,0.0003,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-101 b,10905239,K00046.01,Kepler-101 b,18 53 01.318,+48 21 18.84,1233,4.33,4.024,3.488,0.753,80.79,SPC,4.785,,Mandel and Agol (2002 ApJ 580 171),170.931,1295,0.047,0.036,0.0001,2.3,1.127,1.105,5764,4.4,13.77,14.406,13.72,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-12-19 00:00:00
Kepler-101 c,10905239,K00046.02,Kepler-101 c,18 53 01.318,+48 21 18.84,1032,0.96,3.791,6.029,0.837,83.08,SPC,6.89,,Mandel and Agol (2002 ApJ 580 171),132.515,61,0.067,0.008,0.00059,2.3,1.127,1.105,5764,4.4,13.77,14.406,13.72,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-10-25 00:00:00
Kepler-102 b,10187017,K00082.05,Kepler-102 b,18 45 55.854,+47 12 28.91,792,0.54,2.439,5.287,0.794,85.37,SME,10.3,,Mandel and Agol (2002 ApJ 580 171),135.847,42,0.055,0.007,0.00032,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 c,10187017,K00082.04,Kepler-102 c,18 45 55.854,+47 12 28.91,718,0.69,3.263,7.071,0.672,87.09,SME,12.5,,Mandel and Agol (2002 ApJ 580 171),139.988,78,0.067,0.009,0.00024,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
